question,answer,source,language,url
What is UPI (Unified Payments Interface)?,"UPI (Unified Payments Interface) is a real-time payment system developed by the National Payments Corporation of India (NPCI) that enables instant money transfers between bank accounts through a mobile platform. UPI works 24/7, 365 days a year. It uses a Virtual Payment Address (VPA) like name@bank to identify users. UPI processed over 10 billion transactions per month in 2024, making it the world's largest real-time payment system.",NPCI,en,https://www.npci.org.in
What is RuPay card and how is it different from Visa and Mastercard?,"RuPay is India's domestic card payment network developed by NPCI. It is an alternative to international card networks like Visa and Mastercard. RuPay cards are accepted at all ATMs, POS terminals, and e-commerce websites in India. RuPay cards have lower transaction fees compared to international networks, making them more affordable for banks and merchants. RuPay also offers contactless payment through RuPay contactless cards.",NPCI,en,https://www.npci.org.in
What is NACH (National Automated Clearing House)?,"NACH (National Automated Clearing House) is a centralised system launched by NPCI that facilitates high-volume, repetitive, and periodic interbank transactions. It is used for bulk transactions like salary payments, pension disbursements, dividend payments, and EMI collections. NACH has two variants: NACH Credit (for bulk credit transactions) and NACH Debit (for recurring debit mandates like loan EMIs and insurance premiums).",NPCI,en,https://www.npci.org.in
What is BBPS (Bharat Bill Payment System)?,"Bharat Bill Payment System (BBPS) is an integrated bill payment system operated by NPCI that offers interoperable and accessible bill payment services to customers across India. It covers utility bills like electricity, water, gas, telecom, and DTH. BBPS provides a single platform for all bill payments with instant confirmation. Customers can pay bills through multiple channels including internet banking, mobile apps, bank branches, and agent outlets.",NPCI,en,https://www.npci.org.in
What is the transaction limit for UPI payments?,"The transaction limit for UPI payments is Rs. 1 lakh per transaction for most banks. However, for specific categories like capital markets, collections, insurance, and foreign inward remittances, the limit is Rs. 2 lakhs per transaction. For IPO applications and RBI retail direct, the limit is Rs. 5 lakhs. The daily transaction limit varies by bank but is typically Rs. 1 lakh. These limits are set by NPCI and individual banks.",NPCI,en,https://www.npci.org.in
What is IMPS (Immediate Payment Service)?,"IMPS (Immediate Payment Service) is an instant interbank electronic fund transfer service through mobile phones developed by NPCI. It is available 24/7, 365 days a year. IMPS can be used to transfer funds using mobile number and MMID (Mobile Money Identifier), account number and IFSC code, or Aadhaar number. The transaction limit for IMPS is Rs. 5 lakhs per transaction. IMPS charges are typically Rs. 5-15 per transaction.",NPCI,en,https://www.npci.org.in
What is FASTag and how does it work?,"FASTag is an electronic toll collection system in India operated by NPCI. It uses Radio Frequency Identification (RFID) technology to enable automatic deduction of toll charges while the vehicle is in motion. FASTag is affixed to the windscreen of the vehicle and linked to a prepaid account or bank account. Since February 2021, FASTag has been mandatory for all four-wheelers in India. It reduces waiting time at toll plazas and promotes cashless transactions.",NPCI,en,https://www.npci.org.in
What is Aadhaar-enabled Payment System (AePS)?,"Aadhaar-enabled Payment System (AePS) is a bank-led model developed by NPCI that allows online interoperable financial transactions at Point of Sale (PoS) through the Business Correspondent (BC) of any bank using Aadhaar authentication. AePS enables basic banking services like cash withdrawal, cash deposit, balance enquiry, and fund transfer using Aadhaar number and biometric authentication. It is particularly useful for financial inclusion in rural areas.",NPCI,en,https://www.npci.org.in
How do I register for UPI and create a VPA?,"To register for UPI, download any UPI-enabled app (like BHIM, PhonePe, Google Pay, or your bank's app) from the app store. Link your bank account by entering your debit card details and setting a UPI PIN. A Virtual Payment Address (VPA) like yourname@bankname is automatically created. You can also create a custom VPA. The UPI PIN is a 4 or 6 digit number used to authorise transactions. Never share your UPI PIN with anyone.",NPCI,en,https://www.npci.org.in
What should I do if a UPI transaction fails but money is debited?,"If a UPI transaction fails but money is debited from your account, the amount is typically auto-reversed within 2-3 business days as per NPCI guidelines. If the reversal does not happen, you can raise a complaint through the UPI app used for the transaction, contact your bank's customer care, or file a complaint on the NPCI website. NPCI mandates that banks resolve UPI transaction disputes within 5 business days.",NPCI,en,https://www.npci.org.in
