model,question,language,answer,reference,is_hallucination,reasons
Raw mGPT,Does RBI have any relationship with GAHs?,en,"No, RBI has no relationship with GAHs. GAHs are chemotherapy-resistant bacteria that can be resistant to the chemotherapy. RBI does not work with GAHs.","While RBI will facilitate the trading platform for buying and selling of G-Secs, RBI shall not have any relationship, direct or otherwise, with any of the GAH granted access to NDS-OM Web. Further, th",0,OK
Raw mGPT,"If a company is a CIC but does not exactly meet the criteria specified, does the",en,"Yes. However, you will need to register your company as an NBFC, at the CIC.","Ans: A holding company not meeting the criteria for a CIC laid down in para 2 of Master Direction DoR(NBFC).PD.003/03.10.119/2016-17 dated August 25, 2016 would require to register as an NBFC. However",1,Very short answer (15 words) — possible evasion
Raw mGPT,Whether banks can purchase letter of allotment in respect of PSU Bonds?,en,"Yes, banks can purchase PSUs. However, banks cannot purchase any other PSUs. Therefore, the amount of money to be transferred from the bank to the PSU is not covered by the PSU.",Banks can purchase letter of allotment in respect of PSU bonds subject to following conditions.,0,OK
Raw mGPT,"In RTGS, why is credit to the beneficiary given solely based on account number?",en,"This is not considered a credit when RTGS is used for payment of interest in the account. When a bank or any other company uses RTGS, credit is not based on account number, but is calculated based on ",Ans. Transactions in RTGS happen in real time and it is not possible to match name and account number before affording credit to the beneficiary. Since name in the Indian context is spelt differently ,0,OK
Raw mGPT,Do all bank branches in India provide RTGS service? How can a remitting customer,en,The company has the right to inform the beneficiary about the possibility of using RTGS in the bank branch of the beneficiary. The beneficiary can login to the application form and enter his/her phone,"Ans. For a funds transfer to go through RTGS, both the sending bank branch and the receiving bank branch need to be RTGS enabled. Presently, there are more than 1,60,000 RTGS enabled bank branches, th",0,OK
Raw mGPT,Does the beneficiary need to maintain an account with a bank branch in Nepal?,en,"The beneficiary can do so if he or she is the owner of an account in his or her own country, with a bank branch in Nepal.
#","Ans: No, this is not mandatory. It would, however, be ideal if the beneficiary maintains an account with a bank branch in Nepal to which the credit could be afforded. In Nepal, the INRF Scheme is hand",0,OK
Raw mGPT,Whether interest rate stipulations applicable to loans in rupees under FCNR(B) s,en,Institutions of finance are allowed to invest in the foreign currency denominated in foreign currency in the interest rate regime. Interest rate stipulations applicable to loans in rupees under FCNR(B,No. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are not applicable to loans denominated in foreign currency which are governed by the instructions issued by Exchange ,0,OK
Raw mGPT,WHAT IS THE BACKGROUND FOR ADF?,en,The back ground for ADF is that the ADF is one of two main components of the Digital Camera. The other component is the camera's memory.,"In several of its functions, Reserve Bank of India relies on data submitted by banks and quality of data is of great importance. In order to meet the need for correct and consistent data, the Reserve ",0,OK
Raw mGPT,Will the orders placed by clients be visible to PM?,en,"YES! The order placed by the client will be visible to PM.
##","The Primary Member being responsible for the settlement of the trades done by the GAH on the NDS OM Web Based Module, will have a view of the Orders placed by the GAH as well as the trades done by the",1,Very short answer (13 words) — possible evasion
Raw mGPT,Explain: Financial Education Programme for Adults (FEPA) was launched?,en,The Financial Education Programme for Adults (FEPA) was launched in 2008 to support the development of economically literate adults. The programme commenced in 2010 and was funded by the government of,The Financial Education Programme for Adults (FEPA) was launched by the in the month of September 2019. FEPA is a Financial Literacy Programme designed and implemented to spread financial awareness am,1,"Novel numbers not in reference: {'2010', '2008'}"
Raw mGPT,What is Duration?,en,"Duration is the time that a given resource is available to a user.
#","27.1 Duration (also known as Macaulay Duration) of a bond is a measure of the time taken to recover the initial investment in present value terms. In simplest form, duration refers to the payback peri",1,Very short answer (14 words) — possible evasion
Raw mGPT,Can you repay your loan ahead of schedule? Is pre-payment of loan allowed?,en,"Pre-payment of loan is allowed. If you are not satisfied with the loan amount or are not satisfied with the loan terms, you can request a refund. If you are not satisfied with the payment amount, you ","Yes, most banks allow you to repay the loan ahead of schedule by making lump sum payments. However, many banks charge early repayment penalties up to 2-3% of the principal amount outstanding. Prepayme",0,OK
Raw mGPT,How does one get information about the price of a G-Sec?,en,"Once you have the price of the G-Sec, you can get access to it through the Internet. You can visit the website www.g-sec.com and go to the “Contact Us” section.
#","14.1 The return on a security is a combination of two elements (i) coupon income – that is, interest earned on the security and (ii) the gain / loss on the security due to price changes and reinvestme",0,OK
Raw mGPT,Are the instructions on microfinance loans issued under various Directions appli,en,"No, the instructions issued under the Directions are applicable only to microfinance institutions operating in the UK, Ireland, Denmark or Sweden.
Q: How does the new guidance apply to the UK and Irel","The instructions on microfinance loans issued under various Directions are applicable only to the regulated entities mentioned below: All Commercial Banks (including Small Finance Banks, Local Area Ba",0,OK
Raw mGPT,What are the Do's and Don’ts prescribed by RBI for the Co-operative banks dealin,en,"The G-Secs are not a registered business entity, but they are an individual who creates a new company in the name of the same person. The G-Secs is a new company registered in the name of a co-operati","While undertaking transactions in securities, UCBs should adhere to the instructions issued by the RBI. The guidelines on transactions in G-Secs by the UCBs have been codified in the master circular D",0,OK
