question,answer,source,language,url
What is Life Insurance and why is it important?,"Life insurance is a contract between an insurer and a policyholder where the insurer guarantees payment of a death benefit to named beneficiaries upon the death of the insured. In India, life insurance is regulated by IRDAI (Insurance Regulatory and Development Authority of India). It provides financial security to the family of the insured. Key types include term insurance, whole life insurance, endowment plans, and ULIPs (Unit Linked Insurance Plans).",IRDAI,en,https://irdai.gov.in
What is Health Insurance and what does it cover?,"Health insurance is a type of insurance that covers medical expenses incurred due to illness or injury. In India, health insurance policies are regulated by IRDAI. Coverage typically includes hospitalisation expenses, pre and post-hospitalisation costs, day-care procedures, and ambulance charges. The Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY) provides health coverage of up to Rs. 5 lakhs per family per year for economically weaker sections.",IRDAI,en,https://irdai.gov.in
What is Motor Insurance and is it mandatory in India?,"Motor insurance is a policy that provides financial protection against physical damage or bodily injury resulting from traffic accidents and against liability that could arise from incidents in a vehicle. In India, third-party motor insurance is mandatory under the Motor Vehicles Act, 1988. Comprehensive motor insurance additionally covers own damage. IRDAI regulates motor insurance premiums and claim settlement processes.",IRDAI,en,https://irdai.gov.in
What is the claim settlement ratio in insurance?,"The Claim Settlement Ratio (CSR) is the percentage of claims settled by an insurance company out of the total claims received in a financial year. A higher CSR indicates better claim settlement performance. IRDAI publishes annual reports with CSR data for all insurance companies. For life insurance, a CSR above 95% is considered good. Policyholders should check the CSR before choosing an insurance company.",IRDAI,en,https://irdai.gov.in
What is ULIP (Unit Linked Insurance Plan)?,"A Unit Linked Insurance Plan (ULIP) is a product offered by insurance companies that provides both insurance coverage and investment exposure in a single integrated plan. Part of the premium goes towards life insurance coverage, and the remaining is invested in equity, debt, or balanced funds. ULIPs have a mandatory lock-in period of 5 years. They are regulated by IRDAI and offer tax benefits under Section 80C and Section 10(10D) of the Income Tax Act.",IRDAI,en,https://irdai.gov.in
What is the free look period in insurance?,"The free look period is a mandatory period (typically 15-30 days from receipt of the policy document) during which a policyholder can review the terms and conditions of the policy and return it if not satisfied, without any penalty. IRDAI mandates a free look period of 15 days for regular policies and 30 days for policies sold through distance marketing. The insurer must refund the premium paid after deducting proportionate risk premium and expenses.",IRDAI,en,https://irdai.gov.in
What is the difference between term insurance and whole life insurance?,"Term insurance provides life coverage for a specific period (term) and pays the death benefit only if the insured dies during the policy term. It has no maturity benefit and is the most affordable form of life insurance. Whole life insurance provides coverage for the entire lifetime of the insured and includes a savings component that builds cash value over time. Term insurance is recommended for pure protection needs, while whole life insurance combines protection with savings.",IRDAI,en,https://irdai.gov.in
What is No Claim Bonus (NCB) in motor insurance?,"No Claim Bonus (NCB) is a discount offered by insurance companies on the own damage premium of motor insurance for not making any claims during the previous policy year. NCB starts at 20% after the first claim-free year and can go up to 50% after five consecutive claim-free years. NCB belongs to the policyholder, not the vehicle, and can be transferred when changing insurers or vehicles. IRDAI regulates NCB norms for motor insurance.",IRDAI,en,https://irdai.gov.in
What is the Insurance Ombudsman in India?,The Insurance Ombudsman is an independent authority established by IRDAI to resolve complaints of policyholders against insurance companies. There are 17 Insurance Ombudsman offices across India. Policyholders can approach the Ombudsman if their complaint is not resolved by the insurance company within 30 days. The Ombudsman can award compensation up to Rs. 30 lakhs for life insurance and Rs. 30 lakhs for general insurance complaints.,IRDAI,en,https://irdai.gov.in
What is a pre-existing disease in health insurance?,"A pre-existing disease (PED) is any medical condition, illness, or injury that existed before the commencement of a health insurance policy. Most health insurance policies have a waiting period of 2-4 years before covering pre-existing diseases. IRDAI has standardised the definition of pre-existing diseases and mandated that insurers cannot reject claims for pre-existing conditions after the waiting period. The IRDAI (Health Insurance) Regulations, 2016 govern these provisions.",IRDAI,en,https://irdai.gov.in
