question,answer,source,language,url
Are IAs regulated in India?,"SEBI has notified the IA Regulations on January 21, 2013. These Regulations came into effect from April 21, 2013 and specify the conditions for registration, certification, capital adequacy, risk profiling and suitability, disclosures to be made, code of conduct, records to be maintained, manner of conducting inspection, etc. pertaining to IAs. The IA Regulations are available on SEBI website at “Legal » Regulations” and can be accessed at the following link: https://www.sebi.gov.in/legal/regulations/feb-2023/securities-and-exchange-board- of-india-investment-advisers-regulations-2013-last-amended-on-february-07- 2023-_69215.html",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
What is an investment advice?,"Investment advice is advice relating to investing in, purchasing, selling or otherwise dealing in securities or investment products, and advice on investment portfolio containing securities or investment products, whether written, oral or Page 1 of 19 through any other means of communication for the benefit of the client and includes financial planning. However, investment advice given through newspaper, magazines, any electronic or broadcasting or telecommunications medium, which is widely available to the public is not considered as investment advice for the purpose of the IA Regulations. [Ref. Regulation 2(1)(l)] Further, an IA making public appearance or giving recommendations or offering opinion concerning securities or public offers through public media while giving recommendations through public media is required to also comply with the relevant provisions of SEBI (Research Analysts) Regulations, 2014.",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
Who is required to apply for certificate of registration as an IA?,"On and from the date of commencement of the IA Regulations, a person can act as an IA or hold itself out as an IA only if he has obtained a certificate of registration from SEBI or has been specifically exempted from obtaining such certificate. [Ref. Regulation 3(1)] A sole proprietor can also apply for certificate of registration as an IA. Such application will be processed in the same manner as an individual applicant. The IA Regulations provide for exemption to certain persons such as insurance agents, pension advisers, mutual fund distributors, stock brokers, portfolio managers, fund managers, advocates, solicitors, law firms, etc. from obtaining certificate of registration as an IA subject to fulfilment of stipulated conditions. [Ref. Regulation 4]",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
How should a bank or NBFC proposing to undertake investment advisory,services apply for certificate of registration as an IA? A bank or NBFC proposing to undertake investment advisory services is required to first obtain permission from Reserve Bank of India and then make an application for certificate of registration under the IA Regulations through a subsidiary or separately identifiable department or division. [Ref. Regulation 6(j)] Page 2 of 19,SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
How should a non-individual person other than a bank or NBFC apply for,"certificate of registration as an IA? A non-individual person other than a bank or NBFC, which proposes to undertake investment advisory services in addition to its existing activities including but not limited to distribution services, is required to apply for certificate of registration as an IA through a separately identifiable department or division. [Ref. Regulation A non-individual person other than a bank or NBFC which proposes to undertake only investment advisory services shall apply for certificate of registration as an IA directly and not through a separately identifiable department or division.",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
What is the procedure for obtaining registration as an IA?,"One of the factors for considering an application for grant of certificate of registration as an IA under the IA Regulations is whether the applicant is a member of an Investment Adviser Administration and Supervisory Body (IAASB) recognised by SEBI for the purpose of administration and supervision of IAs. [Ref. Regulation 6(n) and Regulation 14] SEBI has granted recognition to BSE Administration and Supervision Limited (BASL), a subsidiary of BSE Limited (BSE) as IAASB through a circular dated June 18, 2021. [Ref. SEBI circular no. SEBI/HO/IMD/IMD-I/DOF1/P/CIR/2021/579 dated June 18, 2021] Accordingly, any person desirous of obtaining a certificate of registration as an IA is required to first obtain membership of BASL and then make an application for grant of certificate of registration in the format of Form A as specified in the First Schedule to the IA Regulations along with necessary supporting documents. The process for seeking membership from BASL and registration from SEBI as an IA is specified in BASL circular no. 20220718-1 dated July 18, 2022 and is available on BASL website (https://www.bseasl.com) at “Circular » BASL Circulars”. Page 3 of 19 The Standard Operating Procedure (SOP) for membership and post-membership activities of BASL and Frequently Asked Questions (FAQs) on BASL membership are available on BASL website at “Membership » Investment Advisers (IA) » SOP & FAQ”. The telephone numbers and email id for contacting BASL for membership related matters is provided below: Contact Numbers Email-id 022-22728688 bseasl.membership@bseasl.com 022-22728910 022-22725818 022- 22728332",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
What is the fee structure for registration as an IA?,"The fee structure for registration as an IA is as under [Ref. Regulation 3(2), Regulation 9 and Schedule II]: Category of Applicant Amount (excluding GST)* Application Registration Fee to be paid Fee** Fee every 5 years** For individuals and firms ₹ 2,000/- ₹ 3,000/- ₹ 1,000/- For Body Corporate including ₹ 10,000/- ₹ 15,000/- ₹ 5,000/- Limited Liability Partnerships * Pursuant to GST exemption on services provided by SEBI having been withdrawn from July 18, 2022, GST @ 18% is levied on the fee amount. Accordingly, applicants will be required to pay GST @ 18% on the above-mentioned fee amounts. ** Application fees (Non-refundable) must be paid along with the application for grant of certificate of registration. *** Fee to be paid by IA to keep its registration in force. Fee must be paid every 5 years, from the date of grant of certificate of registration, within 3 months before expiry of the period for which fee has been paid.",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
What is the Networth requirement for grant of certificate of registration as,"an IA? Page 4 of 19 The Networth requirement for non-individual IAs and net tangible assets requirement for individual IAs for grant of certificate of registration as an IA is as under [Ref. Regulation 8]: Category of Applicant Amount Individual IA Not less than ₹5,00,000/- Non-Individual IA Not less than ₹50,00,000/- ""networth"" means the aggregate value of paid up share capital plus free reserves (excluding reserves created out of revaluation) reduced by the aggregate value of accumulated losses, deferred expenditure not written off, including miscellaneous expenses not written off, and networth requirement for other services offered by the advisers in accordance with the applicable rules and regulations Networth certificate is to be submitted by the applicant along with the application for grant of certificate of registration. Networth must be certified by a chartered accountant. Membership number of the chartered accountant must be mentioned in the certificate. Networth certificate must not be more than 6 months old at the time of filing of the application.",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
What are the qualification and certification requirements under the IA,"Regulations? An individual IA, a principal officer of a non-individual IA and persons associated with investment advice are required to fulfil the minimum qualification and certification requirements as specified under regulation 7(1) and regulation 7(2) of the IA Regulations at all times. Further, with regard to certification requirement, the said persons are required to obtain NISM-Series-X-A: Investment Adviser (Level 1) as well as NISM-Series-X- B: Investment Adviser (Level 2) certification. In this regard, a time period of three years has been provided to IAs registered under the IA Regulations prior to September 30, 2020, for compliance with the provisions of regulation 7(1) of the IA Regulations. Existing individual IAs above the age of fifty years (as on September 30, 2020) are not required to comply with the qualification and experience requirements Page 5 of 19 specified under Regulation 7(1)(a) and 7(1)(b) of the IA Regulations. However, such IAs are required to hold NISM accredited certifications and comply with other conditions as specified under Regulation 7(2) of the IA Regulations at all times. [Ref. Regulation 7 and SEBI circular no. SEBI/HO/IMD/DF1/CIR/P/2020/182 dated September 23, 2020]",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
What is the period of validity of certificate of registration as an IA?,"A certificate of registration granted under the IA Regulations remains valid till it is suspended or cancelled by SEBI. [Ref. Regulation 10] An IA, in order to keep its registration in force, is also required to pay fees every five years, from the date of grant of certificate of registration, within three months before expiry of the period for which fee has been paid. [Ref. Schedule II]",SEBI,en,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2023/1691472424289.pdf
