question,language,difficulty,raw_answer,prompted_answer,lora_answer,winning_ticket_answer,reference_answer
Does RBI have any relationship with GAHs?,en,easy,"No, RBI has no relationship with GAHs. GAHs are chemotherapy-resistant bacteria that can be resistant to the chemotherapy. RBI does not work with GAHs.",RBI has no relationship with GAHs.,"Yes. RBI has no relationship with GAHs. However, it is a registered bank with the securities and derivatives market and it is authorised to issue NEFTS (Non-Exchangable Fundamental Entities) and NEFTS (Non-Exchangable Fundamental Products) securities to the public under the Act, and it provides for its employees to purchase and hold shares of its shares in the securities market for a period of three months. The NEFTS (Non-Exchangable Fundamental Products) securities of RBI are issued","Yes. The RBI was conceived in 1987 when the Federal Reserve Board held a meeting in New York City. RBI is a central bank and is responsible for the coordination of the Federal Reserve’s Reserve Decision and other monetary policy decisions. It has the power to take monetary policy decisions in the absence of the Federal Reserve Board. RBI acts as the regulator for the Federal Reserve System and regulates the activities of banks and other financial institutions. The RBI has a budget of $600 billion and a total of 10,000 employees.","While RBI will facilitate the trading platform for buying and selling of G-Secs, RBI shall not have any relationship, direct or otherwise, with any of the GAH granted access to NDS-OM Web. Further, the RBI has no role in any possible disputes between GAH and PM."
"If a company is a CIC but does not exactly meet the criteria specified, does the company need to register as an NBFC?",en,easy,"Yes. However, you will need to register your company as an NBFC, at the CIC.",The NBFC would be a commercial bank that is authorized by the central government to do business in the industry.,"Yes, it can. If the company has a minimum of Rs.10 crores in assets and has not been incorporated yet, it may apply for registration under the scheme under the Reserve Bank Act, 2005. However, if the company has a minimum of Rs.50 crores in assets, it may apply under the Reserve Bank Act, 1993. It can also apply for registration under the Reserve Bank Act, 2003. However, if the company has already been incorporated, it must have a valid registration certificate with the Reserve Bank. The company must also have a Registrar of Companies registered",Yes. The company is a CIC.,"Ans: A holding company not meeting the criteria for a CIC laid down in para 2 of Master Direction DoR(NBFC).PD.003/03.10.119/2016-17 dated August 25, 2016 would require to register as an NBFC. However, if such company wishes to register as CIC/ be exempted as CIC, it will have to apply to RBI with an action plan achievable within the specific period to reorganize its business as CIC. If it is not able to do so, it would need to comply with NBFC requirements and prudential norms."
Whether banks can purchase letter of allotment in respect of PSU Bonds?,en,easy,"Yes, banks can purchase PSUs. However, banks cannot purchase any other PSUs. Therefore, the amount of money to be transferred from the bank to the PSU is not covered by the PSU.",Bank can purchase letter of allotment in respect of PSU Bonds in the Banking Act.,"Ans. Banks can purchase letter of allotment in respect of PSU Bonds at any bank branches, from anywhere in India, in the country. However, banks are required to provide the bank branch / branch offices with the letter of allotment and the bank branches are required to provide the allotment certificate thereon. The bank does not charge any administration fee. Banks can also buy and sell PSU bonds on the NBFC website. Banks also can purchase up to 2,000 PSU bonds and can sell up to 5,000 PSU bonds in the market. (","The bank cannot purchase the letter of allotment in respect of PSU bonds. However, it may buy the PSUs in the manner stated.",Banks can purchase letter of allotment in respect of PSU bonds subject to following conditions.
"In RTGS, why is credit to the beneficiary given solely based on account number?",en,easy,"This is not considered a credit when RTGS is used for payment of interest in the account. When a bank or any other company uses RTGS, credit is not based on account number, but is calculated based on the beneficiary’s income.
#","As stated in the above question, the beneficiary will have to submit all the required documents before the credit to the bank to be given.",The payment of interest and principal on the basis of the applicable credit agreement (such as a loan agreement) is the actual principal of the credit card. The interest accrued on the card and principal accrued on the account number is the total amount the beneficiary has received. The interest received on the account number is also the principal of the card as well as the amount of the advance issued by the bank. The amount of interest accrued on the account number during the period from the date of the credit to the date the account is redeemed is the amount that is credited to,"As mentioned, credit to the beneficiary is given based on account number.
#","Ans. Transactions in RTGS happen in real time and it is not possible to match name and account number before affording credit to the beneficiary. Since name in the Indian context is spelt differently and would not really match with that available with the beneficiary bank, the process of affording credit solely based on the account number of the beneficiary has been enabled. Our Circular Ref. No. DPSS (CO) EPPD No. / 863 / 04.03.01 / 2010-11 dated October 14, 2010 on ‘Electronic payment products – Processing inward transactions based solely on account number information’ (available at https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6043&Mode=0) may be referred to for further details."
Do all bank branches in India provide RTGS service? How can a remitting customer know whether the bank branch of the beneficiary accepts remittance through RTGS?,en,easy,"The company has the right to inform the beneficiary about the possibility of using RTGS in the bank branch of the beneficiary. The beneficiary can login to the application form and enter his/her phone number and the RTGS number. After entering the RTGS number, the beneficiary will be informed about the status of the transaction and the RTGS status will be updated in the application form.
#",The Bank of India provides RTGS services to all its branches in India.,"The banks in India do not collect remitted bank receipts or other remitted bank receipts from the beneficiaries of remittance. However, some banks have developed the capability to process remitted bank receipts as NEFT or RTGS receipts. In addition, customers can see the remitted bank receipts on their own website at www.remittance.in/receipt.htm. For this purpose, the remitted bank receipts can be downloaded from the bank website. If the beneficiary wishes to receive an RBI",RTGS is a non-transferable service provided by a bank to its customers. A remittance is valid only when there is a valid RTGS transaction. A remittance is valid only when the bank has not issued a valid RTGS transaction.,"Ans. For a funds transfer to go through RTGS, both the sending bank branch and the receiving bank branch need to be RTGS enabled. Presently, there are more than 1,60,000 RTGS enabled bank branches, the list of which is available on the RBI website at the link https://rbi.org.in/Scripts/Bs_viewRTGS.aspx?Category=5. The list is updated on a fortnightly basis."
Does the beneficiary need to maintain an account with a bank branch in Nepal?,en,easy,"The beneficiary can do so if he or she is the owner of an account in his or her own country, with a bank branch in Nepal.
#",The bank may maintain an account with a bank branch in Nepal.,"Ans: The beneficiary should keep an account with the bank in the country which is approved by the relevant NBFC. This means that the bank should be the bank that manages the account of the beneficiary. If the beneficiary is a self-employed individual, the bank should not be the bank that manages the account of the other party. The beneficiary should not be allowed to place any deposits, nor to carry out any other transactions in the account of the bank as the bank runs the account of the beneficiary. The bank should be a legal entity which provides the banking services and","The beneficiary will be required to maintain an account with the bank in Nepal.
Answer: The benefits of a single bank account are limited to the following:
#","Ans: No, this is not mandatory. It would, however, be ideal if the beneficiary maintains an account with a bank branch in Nepal to which the credit could be afforded. In Nepal, the INRF Scheme is handled by Nepal SBI Ltd. (NSBL). If the beneficiary does not have a bank account with NSBL or resides in a locality / area in Nepal not serviced by a NSBL bank branch, an arrangement has been entered into by NSBL with a money transfer company in Nepal (called Prabhu Money Transfer) who would make arrangements for delivery of cash (in Nepalese Rupees) to the beneficiary."
Whether interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency?,en,easy,"Institutions of finance are allowed to invest in the foreign currency denominated in foreign currency in the interest rate regime. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency in the interest rate regime.
#",Yes. The interest rates applicable for loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency.,"Yes. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency as well as other types of loans made on the basis of the Government Reserves of Reserve Bank of India (RBI) and other Government securities. However, there must be no further restrictions as to the amount of the interest rate for loans in rupees and other types of loans made on the basis of the Government Reserves of Reserve Bank of India (RBI) and other Government securities. However, the interest rate applicable","The interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency.
#",No. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are not applicable to loans denominated in foreign currency which are governed by the instructions issued by Exchange Control Department.
WHAT IS THE BACKGROUND FOR ADF?,en,easy,The back ground for ADF is that the ADF is one of two main components of the Digital Camera. The other component is the camera's memory.,The back ground for ADF is a number of factors.,"Ans. The Background for ADF is the Government-recognized institution or business entity established under the Companies Act, 1956, as amended by the Companies Act, 1999, and the Companies Act, 1992, as amended by the Companies Act, 1994 (the ‘Companies Act, 1996) to provide financial assistance for banks and other non-banking entities to operate on a regular basis in any State/District/Country other than India. The Background for ADF is a single corporate entity which has an operating agreement with the Government of India or a government agency established","The background for Adf is that it is not a new feature, it was implemented in the original ADF version. It is a common feature in ADF that allows for various tasks to be done in a single window. The background is that the ADF version is a Windows application.
### Answer: The background for ADF is that it is not a new feature, it was implemented in the original ADF version. It is a common feature in ADF that allows for various tasks to be done in a single window. The background is that the AD","In several of its functions, Reserve Bank of India relies on data submitted by banks and quality of data is of great importance. In order to meet the need for correct and consistent data, the Reserve Bank of India has initiated the project on Automated Data Flow (ADF)."
Will the orders placed by clients be visible to PM?,en,easy,"YES! The order placed by the client will be visible to PM.
##","Yes, the orders will be visible to PM in the financial statements.","Yes, the orders placed by clients in the RBI will be visible to the respective bank’s customer service department and its branch/ branch manager. The customer service staff will have access to the order history, customer details, orders placed and payments placed, information of the customer, information on the date and time of delivery, the amount of the order and the price, and other relevant information. However, if the order is not received at the time specified by the customer, the customer will be informed by the bank. The bank will also require the customer to complete a claim form, including the date","No, we don't want the order to be visible to PM.
#","The Primary Member being responsible for the settlement of the trades done by the GAH on the NDS OM Web Based Module, will have a view of the Orders placed by the GAH as well as the trades done by the GAH."
Explain: Financial Education Programme for Adults (FEPA) was launched?,en,easy,"The Financial Education Programme for Adults (FEPA) was launched in 2008 to support the development of economically literate adults. The programme commenced in 2010 and was funded by the government of India.
#","Sure, the FEPA was launched by the Reserve Bank of India.","Answer: Ans. The Financial Education Programme for Adults (FEPA) has been launched for the purpose of providing financial support for the financial literacy through online education by providing a free, affordable, quality education. The objective of this programme is to empower persons in the underserved areas of the society to access quality quality education through the delivery of financial education. It is aimed at the underserved and poor sections of the society. The financial education programme aims at the promotion of the financial literacy of all the students and the implementation of these students in the local economy. In this context","The Financial Education Programme for Adults (FEPA) was launched by the Ministry of Finance under the Ministry of the Environment, Sustainable Development and Cooperation (MEDCO) in 2011. The Programme was launched in the year of the International Year of the Earth (ISEE) in the context of the Government of India's vision of the sustainable development of the country. The objective of the programme is to provide a platform for youngsters to learn about the importance of financial education.
The objective of education is to provide a platform for youngsters to learn about the importance of financial education and","The Financial Education Programme for Adults (FEPA) was launched by the in the month of September 2019. FEPA is a Financial Literacy Programme designed and implemented to spread financial awareness among the adult population such as Farmers, Women groups, Asha Workers, Anganwadi Workers, Self Help Groups, Employees of Organization, Skill Development Trainees etc., This programme is conducted in line with the targets of National Strategy for Financial Education and the focus have been given to Special Focused Districts (SFDs). This programme expects to substantially contribute to ’s vision of a “Financially aware and empowered India”."
